,ESTIMATE,Demographic Category,Specific Category,Year,Age
3266,,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Asian or Pacific Islander,2007,All ages
3267,,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Asian or Pacific Islander,2008,All ages
3268,,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Asian or Pacific Islander,2009,All ages
3269,,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Asian or Pacific Islander,2010,All ages
3270,,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Asian or Pacific Islander,2011,All ages
3271,3.2,Sex and race (single race),Female: American Indian or Alaska Native,2018,All ages
3272,,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Asian or Pacific Islander,2013,All ages
3273,,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Asian or Pacific Islander,2014,All ages
3274,,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Asian or Pacific Islander,2015,All ages
3275,,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Asian or Pacific Islander,2016,All ages
3276,,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Asian or Pacific Islander,2017,All ages
3277,,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Asian or Pacific Islander,2018,All ages
3278,,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,1999,All ages
3279,3.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: American Indian or Alaska Native,2016,All ages
3280,3.2,Sex and age,Female: 45-54 years,2004,45-54 years
3281,3.2,Sex and age,Female: 35-44 years,2006,35-44 years
3282,3.2,Sex and age,Male: 45-54 years,2011,45-54 years
3283,3.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: American Indian or Alaska Native,2001,All ages
3284,3.2,Sex and age,Female: 25-34 years,2014,25-34 years
3285,3.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: American Indian or Alaska Native,2002,All ages
3286,3.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2017,All ages
3287,3.2,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2008,All ages
3288,3.2,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2014,All ages
3289,3.2,Age,25-34 years,2006,25-34 years
3290,3.2,Total,All persons,2009,All ages
3291,3.2,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2009,All ages
3292,3.2,Age,75-84 years,2007,75-84 years
3293,3.2,Sex and age,Male: 15-24 years,2015,15-24 years
3294,3.2,Age,65-74 years,2005,65-74 years
3295,3.2,Sex and race,Male: American Indian or Alaska Native,1999,All ages
3296,3.2,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Asian or Pacific Islander,2014,All ages
3297,3.2,Sex and race,Male: Asian or Pacific Islander,2013,All ages
3298,3.2,Sex and race,Female: White,2010,All ages
3299,3.2,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2015,All ages
3300,3.2,Sex and race,Male: Asian or Pacific Islander,2011,All ages
3301,3.2,Sex and race,Male: American Indian or Alaska Native,2006,All ages
3302,3.3,Sex and race,Male: White,2006,All ages
3303,3.3,Sex,Female,2014,All ages
3304,3.3,Sex,Male,2007,All ages
3305,3.3,Total,All persons,2001,All ages
3306,3.3,Sex and age,Female: 65-74 years,2016,65-74 years
3307,3.3,Sex and age,Female: 75-84 years,2015,75-84 years
3308,3.3,Sex and age,Female: 75-84 years,2010,75-84 years
3309,3.3,Sex and age,Female: 75-84 years,2008,75-84 years
3310,3.3,Sex and age,Female: 75-84 years,2006,75-84 years
3311,3.3,Age,15-24 years,2014,15-24 years
3312,3.3,Sex and age,Male: 45-54 years,2009,45-54 years
3313,3.3,Sex and age,Female: 25-34 years,2003,25-34 years
3314,3.3,Sex and age,Female: 15-24 years,2014,15-24 years
3315,3.3,Sex and age,Female: 25-34 years,2015,25-34 years
3316,3.3,Age,45-54 years,2008,45-54 years
3317,3.3,Age,25-34 years,2007,25-34 years
3318,3.3,Sex and age,Male: 25-34 years,2008,25-34 years
3319,3.3,Sex and age,Female: 15-24 years,2004,15-24 years
3320,3.3,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: American Indian or Alaska Native,2011,All ages
3321,3.3,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,2007,All ages
3322,3.3,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,2006,All ages
3323,3.3,Sex and race and Hispanic origin (single race),Female: Hispanic or Latino: All races,2018,All ages
3324,3.3,Total,All persons,2014,All ages
3325,3.3,Sex and age,Female: 25-34 years,2013,25-34 years
3326,3.3,Age,65-74 years,2014,65-74 years
3327,3.3,Sex and age,Male: 55-64 years,2007,55-64 years
3328,3.3,Sex and age,Male: 45-54 years,2001,45-54 years
3329,3.3,Sex and age,Male: 15-24 years,2016,15-24 years
3330,3.3,Sex and age,Male: 15-24 years,2011,15-24 years
3331,3.3,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2018,All ages
3332,3.3,Sex,Male,2007,All ages
3333,3.3,Age,45-54 years,2002,45-54 years
3334,3.3,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: American Indian or Alaska Native,2016,All ages
3335,3.3,Sex and race,Female: American Indian or Alaska Native,2004,All ages
3336,3.3,Sex and race,Female: American Indian or Alaska Native,2003,All ages
3337,3.3,Age,75-84 years,2008,75-84 years
3338,3.3,Age,75-84 years,2006,75-84 years
3339,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: American Indian or Alaska Native,1999,All ages
3340,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: American Indian or Alaska Native,2000,All ages
3341,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: American Indian or Alaska Native,2001,All ages
3342,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: American Indian or Alaska Native,2002,All ages
3343,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: American Indian or Alaska Native,2003,All ages
3344,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: American Indian or Alaska Native,2004,All ages
3345,3.3,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2016,All ages
3346,3.3,Total,All persons,2001,All ages
3347,3.3,Sex and race,Female: American Indian or Alaska Native,2015,All ages
3348,3.3,Sex and race,Male: Asian or Pacific Islander,2014,All ages
3349,3.3,Sex and age,Male: 65-74 years,2005,65-74 years
3350,3.3,Sex and race,Male: American Indian or Alaska Native,2008,All ages
3351,3.3,Sex and race,Male: Black or African American,2018,All ages
3352,3.4,Sex,Female,2015,All ages
3353,3.4,Sex and race (single race),Male: Black or African American,2018,All ages
3354,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: American Indian or Alaska Native,2014,All ages
3355,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: American Indian or Alaska Native,2015,All ages
3356,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: American Indian or Alaska Native,2016,All ages
3357,3.4,Sex and age,Female: 75-84 years,2013,75-84 years
3358,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: American Indian or Alaska Native,2018,All ages
3359,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,1999,All ages
3360,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2000,All ages
3361,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2001,All ages
3362,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2002,All ages
3363,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2003,All ages
3364,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2004,All ages
3365,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2005,All ages
3366,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2006,All ages
3367,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2007,All ages
3368,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2008,All ages
3369,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2009,All ages
3370,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2010,All ages
3371,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2011,All ages
3372,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2012,All ages
3373,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2013,All ages
3374,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2014,All ages
3375,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2015,All ages
3376,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2016,All ages
3377,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2017,All ages
3378,,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Asian or Pacific Islander,2018,All ages
3379,3.4,Sex and age,Female: 75-84 years,2011,75-84 years
3380,3.4,Sex and age,Male: 25-34 years,2005,25-34 years
3381,3.4,Age,15-24 years,2017,15-24 years
3382,3.4,Sex and age,Male: 65-74 years,2014,65-74 years
3383,3.4,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: American Indian or Alaska Native,2008,All ages
3384,3.4,Sex,Female,2005,All ages
3385,3.4,Sex and age,Male: 75-84 years,2011,75-84 years
3386,3.4,Sex and age,Male: 75-84 years,2005,75-84 years
3387,3.4,Sex and age,Female: 45-54 years,2018,45-54 years
3388,3.4,Age,55-64 years,2004,55-64 years
3389,3.4,Sex and age,Female: 25-34 years,2018,25-34 years
3390,3.4,Sex and age,Female: 55-64 years,2009,55-64 years
3391,3.4,Age,15-24 years,2003,15-24 years
3392,3.4,Sex and age,Female: 25-34 years,2010,25-34 years
3393,3.4,Age,55-64 years,2008,55-64 years
3394,3.4,Age,55-64 years,2015,55-64 years
3395,3.4,Sex and age,Male: 35-44 years,2000,35-44 years
3396,,Age,Under 15 years,1999,Under 15 years
3397,,Age,Under 15 years,2000,Under 15 years
3398,,Age,Under 15 years,2001,Under 15 years
3399,,Age,Under 15 years,2002,Under 15 years
3400,,Age,Under 15 years,2003,Under 15 years
3401,3.4,Sex and age,Male: 25-34 years,2005,25-34 years
3402,3.4,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2003,All ages
3403,3.4,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2006,All ages
3404,3.4,Sex,Female,2015,All ages
3405,3.4,Sex,Female,2014,All ages
3406,,Age,Under 15 years,2009,Under 15 years
3407,3.4,Age,25-34 years,2011,25-34 years
3408,,Age,Under 15 years,2011,Under 15 years
3409,,Age,Under 15 years,2012,Under 15 years
3410,,Age,Under 15 years,2013,Under 15 years
3411,,Age,Under 15 years,2014,Under 15 years
3412,,Age,Under 15 years,2015,Under 15 years
3413,,Age,Under 15 years,2016,Under 15 years
3414,,Age,Under 15 years,2017,Under 15 years
3415,3.4,Sex and race,Male: Black or African American,2013,All ages
3416,3.4,Age,35-44 years,2002,35-44 years
3417,3.4,Sex and age,Female: 45-54 years,2015,45-54 years
3418,3.4,Sex and age,Female: 35-44 years,2015,35-44 years
3419,3.4,Age,75-84 years,2016,75-84 years
3420,3.4,Age,75-84 years,2012,75-84 years
3421,3.4,Age,75-84 years,2011,75-84 years
3422,3.4,Age,75-84 years,2010,75-84 years
3423,3.4,Sex,Female,2016,All ages
3424,3.4,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2018,All ages
3425,3.4,Total,All persons,2014,All ages
3426,3.4,Age,25-34 years,2014,25-34 years
3427,3.4,Sex and race,Male: American Indian or Alaska Native,2000,All ages
3428,3.4,Sex and race,Female: American Indian or Alaska Native,2017,All ages
3429,3.4,Sex,Female,2005,All ages
3430,3.5,Sex,Female,2016,All ages
3431,3.5,Total,All persons,2013,All ages
3432,3.5,Total,All persons,2012,All ages
3433,3.5,Total,All persons,2010,All ages
3434,3.5,Sex and age,Female: 85 years and over,2013,85 years and over
3435,3.5,Sex and age,Female: 85 years and over,1999,85 years and over
3436,3.5,Sex and age,Female: 75-84 years,2017,75-84 years
3437,3.5,Sex and age,Female: 75-84 years,2014,75-84 years
3438,3.5,Sex and age,Female: 75-84 years,2012,75-84 years
3439,3.5,Sex and age,Female: 35-44 years,1999,35-44 years
3440,3.5,Sex and age,Male: 35-44 years,2005,35-44 years
3441,3.5,Sex and age,Male: 25-34 years,2011,25-34 years
3442,3.5,Sex and age,Female: 55-64 years,1999,55-64 years
3443,3.5,Sex and race and Hispanic origin (single race),Male: Not Hispanic or Latino: American Indian or Alaska Native,2018,All ages
3444,3.5,Age,45-54 years,2007,45-54 years
3445,3.5,Age,45-54 years,2006,45-54 years
3446,3.5,Sex and age,Female: 15-24 years,2005,15-24 years
3447,3.5,Sex and age,Male: 75-84 years,2009,75-84 years
3448,3.5,Age,65-74 years,2015,65-74 years
3449,3.5,Sex and race and Hispanic origin (single race),Male: Not Hispanic or Latino: Black,2018,All ages
3450,3.5,Sex and race,Male: White,2012,All ages
3451,3.5,Sex and age,Male: 65-74 years,2006,65-74 years
3452,3.5,Sex and age,Female: 75-84 years,2018,75-84 years
3453,3.5,Sex and age,Female: 45-54 years,2017,45-54 years
3454,3.5,Sex and age,Female: 35-44 years,2015,35-44 years
3455,3.5,Sex and age,Female: 45-54 years,2005,45-54 years
3456,3.5,Sex and age,Female: 25-34 years,2015,25-34 years
3457,3.5,Sex and age,Female: 25-34 years,2012,25-34 years
3458,3.5,Sex and age,Male: 25-34 years,2010,25-34 years
3459,3.5,Sex and race,Male: American Indian or Alaska Native,2014,All ages
3460,3.5,Sex and age,Male: 15-24 years,2010,15-24 years
3461,3.5,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2009,All ages
3462,3.5,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2013,All ages
3463,3.5,Age,35-44 years,2003,35-44 years
3464,3.5,Sex and age,Female: 55-64 years,2016,55-64 years
3465,3.5,Total,All persons,2012,All ages
3466,3.5,Total,All persons,2010,All ages
3467,3.5,Sex and race,Female: White,2004,All ages
3468,3.5,Age,65-74 years,2006,65-74 years
3469,3.5,Sex and race,Female: American Indian or Alaska Native,2016,All ages
3470,3.5,Sex and race,Female: White,2018,All ages
3471,3.5,Sex and race,Female: White,2013,All ages
3472,3.5,Sex and race,Female: White,2012,All ages
3473,3.5,Sex and race,Female: White,2011,All ages
3474,3.5,Sex and race,Male: Black or African American,2017,All ages
3475,3.6,Sex,Female,2017,All ages
3476,3.6,Sex,Female,2016,All ages
3477,3.6,Sex and age,Female: 85 years and over,2016,85 years and over
3478,3.6,Sex and age,Female: 65-74 years,2017,65-74 years
3479,3.6,Sex and age,Male: 55-64 years,2013,55-64 years
3480,3.6,Sex and age,Female: 65-74 years,2006,65-74 years
3481,3.6,Sex and age,Female: 25-34 years,2004,25-34 years
3482,3.6,Sex and age,Male: 55-64 years,2003,55-64 years
3483,3.6,Sex and age,Male: 15-24 years,2001,15-24 years
3484,3.6,Sex and age,Male: 85 years and over,2001,85 years and over
3485,3.6,Sex and age,Male: 75-84 years,2010,75-84 years
3486,3.6,Sex and race (single race),Female: White,2018,All ages
3487,3.6,Sex and age,Female: 65-74 years,2018,65-74 years
3488,3.6,Sex and age,Female: 45-54 years,2016,45-54 years
3489,3.6,Sex and age,Female: 55-64 years,2010,55-64 years
3490,3.6,Sex and age,Female: 25-34 years,2011,25-34 years
3491,3.6,Sex and age,Male: 35-44 years,2011,35-44 years
3492,3.6,Sex and age,Male: 35-44 years,1999,35-44 years
3493,3.6,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2010,All ages
3494,3.6,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: American Indian or Alaska Native,1999,All ages
3495,3.6,Age,45-54 years,2003,45-54 years
3496,3.6,Age,35-44 years,2004,35-44 years
3497,3.6,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: American Indian or Alaska Native,2017,All ages
3498,3.6,Total,All persons,2013,All ages
3499,3.6,Age,75-84 years,2017,75-84 years
3500,3.6,Age,75-84 years,2015,75-84 years
3501,3.6,Age,75-84 years,2014,75-84 years
3502,3.6,Age,75-84 years,2013,75-84 years
3503,3.6,Sex and age,Male: 45-54 years,2014,45-54 years
3504,3.6,Sex and race,Female: American Indian or Alaska Native,2006,All ages
3505,3.6,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2010,All ages
3506,3.6,Sex and race,Female: Black or African American,2014,All ages
3507,3.6,Sex and age,Male: 55-64 years,2015,55-64 years
3508,3.6,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2017,All ages
3509,3.6,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,2006,All ages
3510,,Age,65-74 years,1999,65-74 years
3511,,Age,65-74 years,2000,65-74 years
3512,,Age,65-74 years,2001,65-74 years
3513,3.6,Sex and race,Female: American Indian or Alaska Native,2012,All ages
3514,,Age,65-74 years,2003,65-74 years
3515,3.6,Sex and race,Male: American Indian or Alaska Native,2016,All ages
3516,3.6,Sex and race,Male: American Indian or Alaska Native,2013,All ages
3517,3.6,Sex and race,Male: American Indian or Alaska Native,2010,All ages
3518,3.7,Sex,Male,2008,All ages
3519,3.7,Total,All persons,2011,All ages
3520,3.7,Sex and age,Female: 85 years and over,2005,85 years and over
3521,3.7,Sex and age,Female: 85 years and over,2004,85 years and over
3522,3.7,Sex and age,Female: 85 years and over,2001,85 years and over
3523,3.7,Sex and age,Female: 65-74 years,2007,65-74 years
3524,3.7,Sex and age,Male: 45-54 years,2005,45-54 years
3525,3.7,Age,15-24 years,2000,15-24 years
3526,3.7,Sex and age,Male: 35-44 years,2007,35-44 years
3527,3.7,Sex and age,Male: 75-84 years,2017,75-84 years
3528,3.7,Sex and age,Male: 75-84 years,2016,75-84 years
3529,,Age,75-84 years,1999,75-84 years
3530,,Age,75-84 years,2000,75-84 years
3531,,Age,75-84 years,2001,75-84 years
3532,,Age,75-84 years,2002,75-84 years
3533,,Age,75-84 years,2003,75-84 years
3534,,Age,75-84 years,2004,75-84 years
3535,,Age,75-84 years,2005,75-84 years
3536,,Age,75-84 years,2006,75-84 years
3537,,Age,75-84 years,2007,75-84 years
3538,,Age,75-84 years,2008,75-84 years
3539,,Age,75-84 years,2009,75-84 years
3540,,Age,75-84 years,2010,75-84 years
3541,,Age,75-84 years,2011,75-84 years
3542,,Age,75-84 years,2012,75-84 years
3543,,Age,75-84 years,2013,75-84 years
3544,,Age,75-84 years,2014,75-84 years
3545,,Age,75-84 years,2015,75-84 years
3546,,Age,75-84 years,2016,75-84 years
3547,,Age,75-84 years,2017,75-84 years
3548,,Age,85 years and over,1999,85 years and over
3549,,Age,85 years and over,2000,85 years and over
3550,,Age,85 years and over,2001,85 years and over
3551,,Age,85 years and over,2002,85 years and over
3552,,Age,85 years and over,2003,85 years and over
3553,,Age,85 years and over,2004,85 years and over
3554,,Age,85 years and over,2005,85 years and over
3555,,Age,85 years and over,2006,85 years and over
3556,,Age,85 years and over,2007,85 years and over
3557,,Age,85 years and over,2008,85 years and over
3558,,Age,85 years and over,2009,85 years and over
3559,,Age,85 years and over,2010,85 years and over
3560,,Age,85 years and over,2011,85 years and over
3561,,Age,85 years and over,2012,85 years and over
3562,,Age,85 years and over,2013,85 years and over
3563,,Age,85 years and over,2014,85 years and over
3564,,Age,85 years and over,2015,85 years and over
3565,,Age,85 years and over,2016,85 years and over
3566,,Age,85 years and over,2017,85 years and over
3567,3.7,Sex and age,Male: 75-84 years,2013,75-84 years
3568,3.7,Sex and age,Male: 15-24 years,2018,15-24 years
3569,3.7,Age,45-54 years,2013,45-54 years
3570,3.7,Sex and age,Female: 85 years and over,2018,85 years and over
3571,3.7,Sex and race,Female: American Indian or Alaska Native,2000,All ages
3572,3.7,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,2014,All ages
3573,3.7,Sex and age,Male: 55-64 years,2008,55-64 years
3574,3.7,Sex and age,Male: 35-44 years,2001,35-44 years
3575,3.7,Sex,Female,2017,All ages
3576,3.7,Sex,Female,2016,All ages
3577,3.7,Sex,Male,2008,All ages
3578,3.7,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: American Indian or Alaska Native,2000,All ages
3579,3.7,Sex and age,Female: 25-34 years,2014,25-34 years
3580,3.7,Age,55-64 years,2009,55-64 years
3581,3.7,Age,35-44 years,2005,35-44 years
3582,3.7,Sex and age,Female: 15-24 years,2017,15-24 years
3583,3.7,Age,85 years and over,2001,85 years and over
3584,3.7,Sex and race,Female: American Indian or Alaska Native,2013,All ages
3585,3.8,Sex and race,Male: White,2007,All ages
3586,3.8,Sex,Male,2009,All ages
3587,3.8,Total,All persons,2014,All ages
3588,3.8,Sex and age,Female: 85 years and over,2017,85 years and over
3589,3.8,Sex and age,Female: 85 years and over,2012,85 years and over
3590,3.8,Sex and age,Female: 85 years and over,2003,85 years and over
3591,3.8,Sex and age,Female: 45-54 years,2001,45-54 years
3592,3.8,Sex and age,Female: 35-44 years,2000,35-44 years
3593,3.8,Sex and age,Male: 25-34 years,2009,25-34 years
3594,3.8,Sex and age,Male: 75-84 years,2014,75-84 years
3595,3.8,Total,All persons,2018,All ages
3596,3.8,Total,All persons,2018,All ages
3597,3.8,Sex and age,Female: 15-24 years,2018,15-24 years
3598,3.8,Age,15-24 years,2004,15-24 years
3599,3.8,Age,15-24 years,2015,15-24 years
3600,3.8,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2015,All ages
3601,3.8,Age,85 years and over,2018,85 years and over
3602,3.8,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: American Indian or Alaska Native,2001,All ages
3603,3.8,Age,25-34 years,2007,25-34 years
3604,3.8,Total,All persons,2014,All ages
3605,,Sex and age,Male: Under 15 years,1999,Under 15 years
3606,,Sex and age,Male: Under 15 years,2000,Under 15 years
3607,,Sex and age,Male: Under 15 years,2001,Under 15 years
3608,,Sex and age,Male: Under 15 years,2002,Under 15 years
3609,,Sex and age,Male: Under 15 years,2003,Under 15 years
3610,,Sex and age,Male: Under 15 years,2004,Under 15 years
3611,,Sex and age,Male: Under 15 years,2005,Under 15 years
3612,,Sex and age,Male: Under 15 years,2006,Under 15 years
3613,3.8,Total,All persons,2011,All ages
3614,,Sex and age,Male: Under 15 years,2008,Under 15 years
3615,,Sex and age,Male: Under 15 years,2009,Under 15 years
3616,,Sex and age,Male: Under 15 years,2010,Under 15 years
3617,,Sex and age,Male: Under 15 years,2011,Under 15 years
3618,,Sex and age,Male: Under 15 years,2012,Under 15 years
3619,,Sex and age,Male: Under 15 years,2013,Under 15 years
3620,,Sex and age,Male: Under 15 years,2014,Under 15 years
3621,,Sex and age,Male: Under 15 years,2015,Under 15 years
3622,,Sex and age,Male: Under 15 years,2016,Under 15 years
3623,,Sex and age,Male: Under 15 years,2017,Under 15 years
3624,3.8,Age,85 years and over,1999,85 years and over
3625,3.8,Age,75-84 years,2009,75-84 years
3626,3.8,Sex and race,Female: White,2005,All ages
3627,3.8,Sex and race,Female: American Indian or Alaska Native,2014,All ages
3628,3.8,Sex and race,Female: White,2014,All ages
3629,3.8,Sex and race,Male: American Indian or Alaska Native,2017,All ages
3630,3.9,Total,All persons,2015,All ages
3631,3.9,Sex and age,Female: 85 years and over,2009,85 years and over
3632,3.9,Sex and age,Female: 85 years and over,2002,85 years and over
3633,3.9,Sex and age,Female: 85 years and over,2000,85 years and over
3634,3.9,Sex and age,Female: 75-84 years,2009,75-84 years
3635,3.9,Sex and age,Male: 45-54 years,2008,45-54 years
3636,3.9,Sex and age,Female: 55-64 years,2000,55-64 years
3637,3.9,Sex and age,Female: 15-24 years,2006,15-24 years
3638,3.9,Sex,Female,2006,All ages
3639,3.9,Sex and age,Male: 75-84 years,2015,75-84 years
3640,3.9,Age,55-64 years,2005,55-64 years
3641,3.9,Age,75-84 years,2018,75-84 years
3642,3.9,Sex and age,Female: 35-44 years,2007,35-44 years
3643,3.9,Sex and age,Male: 25-34 years,2009,25-34 years
3644,3.9,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2004,All ages
3645,3.9,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: American Indian or Alaska Native,2013,All ages
3646,3.9,Sex,Male,2009,All ages
3647,3.9,Sex,Female,1999,All ages
3648,3.9,Sex and race,Female: Black or African American,1999,All ages
3649,3.9,Sex,Female,1999,All ages
3650,3.9,Age,45-54 years,2004,45-54 years
3651,3.9,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: American Indian or Alaska Native,2007,All ages
3652,3.9,Sex and age,Male: 35-44 years,2014,35-44 years
3653,3.9,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2012,All ages
3654,3.9,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,2012,All ages
3655,3.9,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: American Indian or Alaska Native,2018,All ages
3656,3.9,Sex and race,Female: White,2015,All ages
3657,3.9,Sex,Female,2006,All ages
3658,4.0,Sex,Male,2012,All ages
3659,4.0,Sex and age,Female: 85 years and over,2014,85 years and over
3660,4.0,Sex and age,Female: 85 years and over,2008,85 years and over
3661,4.0,Sex and age,Female: 55-64 years,2006,55-64 years
3662,4.0,Sex and age,Male: 35-44 years,2006,35-44 years
3663,4.0,Sex and age,Male: 25-34 years,2010,25-34 years
3664,4.0,Sex and age,Female: 15-24 years,2008,15-24 years
3665,4.0,Age,15-24 years,2016,15-24 years
3666,4.0,Sex and race and Hispanic origin (single race),Female: Not Hispanic or Latino: American Indian or Alaska Native,2018,All ages
3667,4.0,Sex and age,Male: 85 years and over,2018,85 years and over
3668,4.0,Sex and age,Female: 55-64 years,2011,55-64 years
3669,4.0,Age,15-24 years,2005,15-24 years
3670,4.0,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,1999,All ages
3671,4.0,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2012,All ages
3672,4.0,Sex and race and Hispanic origin,Female: Hispanic or Latino: All races,2011,All ages
3673,4.0,Total,All persons,2015,All ages
3674,4.0,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Asian or Pacific Islander,2015,All ages
3675,4.0,Sex and race,Male: American Indian or Alaska Native,2015,All ages
3676,4.0,Age,85 years and over,2017,85 years and over
3677,4.0,Age,85 years and over,2016,85 years and over
3678,4.0,Total,All persons,2015,All ages
3679,4.0,Age,85 years and over,2004,85 years and over
3680,4.0,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2013,All ages
3681,4.0,Sex and race,Female: Black or African American,2015,All ages
3682,4.0,Age,65-74 years,2007,65-74 years
3683,4.0,Sex and race,Female: White,1999,All ages
3684,4.0,Sex and race,Female: White,2016,All ages
3685,4.1,Sex,Female,2000,All ages
3686,4.1,Sex,Male,2013,All ages
3687,4.1,Total,All persons,2002,All ages
3688,4.1,Sex and age,Female: 85 years and over,2015,85 years and over
3689,4.1,Sex and age,Male: 45-54 years,2007,45-54 years
3690,4.1,Sex and age,Female: 15-24 years,2015,15-24 years
3691,4.1,Sex and age,Male: 25-34 years,2008,25-34 years
3692,4.1,Sex and age,Male: 55-64 years,2004,55-64 years
3693,4.1,Sex and age,Female: 35-44 years,2016,35-44 years
3694,4.1,Sex and age,Female: 15-24 years,2009,15-24 years
3695,4.1,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: American Indian or Alaska Native,2009,All ages
3696,4.1,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: American Indian or Alaska Native,2017,All ages
